,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
32616,16773,Tom Burton,Male,26.0,180.0,81.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's One Person Dinghy,Gold
32655,16792,Bianka Bua,Female,22.0,187.0,74.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Silver
32702,16816,Antje Buschschulte (-Meeuw),Female,25.0,186.0,75.0,Germany,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
32704,16816,Antje Buschschulte (-Meeuw),Female,25.0,186.0,75.0,Germany,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Backstroke,Bronze
32705,16816,Antje Buschschulte (-Meeuw),Female,25.0,186.0,75.0,Germany,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
32746,16843,Andro Bulje,Male,26.0,200.0,115.0,Croatia,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
32747,16843,Andro Bulje,Male,30.0,200.0,115.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Silver
32831,16875,Crystl Irene Bustos,Female,26.0,173.0,102.0,United States,USA,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Gold
32832,16875,Crystl Irene Bustos,Female,30.0,173.0,102.0,United States,USA,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
32866,16900,Simone Buti,Male,32.0,206.0,100.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver
32874,16907,Aleksandr Anatolyevich Butko,Male,26.0,198.0,97.0,Russia,RUS,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Gold
32882,16914,Dean William Butler,Male,27.0,172.0,72.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold
32900,16923,Jimmy Butler III,Male,26.0,201.0,99.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
32936,16947,Linus Butt,Male,29.0,186.0,83.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Bronze
32967,16963,"Jeffrey ""Jeff"" Buttle",Male,23.0,173.0,60.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Figure Skating,Figure Skating Men's Singles,Bronze
32990,16974,Matthew Butturini,Male,24.0,181.0,81.0,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze
32993,16977,Dajana Butulija,Female,30.0,175.0,65.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Bronze
33096,17038,Karyn L. Bye (-Dietz),Female,30.0,173.0,75.0,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
33102,17042,Byeon Cheon-Sa,Female,18.0,167.0,58.0,South Korea,KOR,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Gold
33188,17095,James Andrew Byrnes,Male,25.0,200.0,93.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
33189,17095,James Andrew Byrnes,Male,29.0,200.0,93.0,Canada,CAN,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Silver
33220,17109,Lars Bystl,Male,27.0,179.0,60.0,Norway,NOR,2006 Winter,2006,Winter,Torino,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold
33221,17109,Lars Bystl,Male,27.0,179.0,60.0,Norway,NOR,2006 Winter,2006,Winter,Torino,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Bronze
33222,17109,Lars Bystl,Male,27.0,179.0,60.0,Norway,NOR,2006 Winter,2006,Winter,Torino,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Bronze
33246,17125,Denia Caballero Ponce,Female,26.0,175.0,70.0,Cuba,CUB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Discus Throw,Bronze
33276,17146,Alba Mara Cabello Rodilla,Female,22.0,163.0,47.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
33277,17146,Alba Mara Cabello Rodilla,Female,26.0,163.0,47.0,Spain,ESP,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
33294,17156,"Frederike Jacobie ""Mieke"" Cabout",Female,22.0,182.0,70.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Gold
33424,17238,Jrmy Cadot,Male,29.0,185.0,78.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",Silver
33457,17258,Erin Jane Cafaro (-McKenzie),Female,25.0,175.0,73.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
33458,17258,Erin Jane Cafaro (-McKenzie),Female,29.0,175.0,73.0,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Gold
33495,17272,Tania Cagnotto (-Parolin),Female,31.0,160.0,54.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Springboard,Bronze
33496,17272,Tania Cagnotto (-Parolin),Female,31.0,160.0,54.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Synchronized Springboard,Silver
33508,17279,Trevor John Cahill,Male,20.0,193.0,99.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
33510,17281,Caitlin Kinder Cahow,Female,20.0,163.0,68.0,United States,USA,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
33511,17281,Caitlin Kinder Cahow,Female,24.0,163.0,68.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
33523,17289,Cai Tongtong,Female,18.0,168.0,48.0,China,CHN,2008 Summer,2008,Summer,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
33537,17299,Cai Yun,Male,28.0,181.0,68.0,China-1,CHN,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Men's Doubles,Silver
33538,17299,Cai Yun,Male,32.0,181.0,68.0,China-1,CHN,2012 Summer,2012,Summer,London,Badminton,Badminton Men's Doubles,Gold
33540,17300,Cai Zelin,Male,25.0,175.0,55.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,Silver
33576,17318,Chiara Cainero,Female,30.0,171.0,81.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Women's Skeet,Gold
33578,17318,Chiara Cainero,Female,38.0,171.0,81.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Women's Skeet,Silver
33618,17333,Petr ajnek,Male,30.0,180.0,82.0,Czech Republic,CZE,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
33626,17338,Asl akr (-Alptekin),Female,26.0,168.0,50.0,Turkey,TUR,2012 Summer,2012,Summer,London,Athletics,"Athletics Women's 1,500 metres",Gold
33660,17348,David Cal Figueroa,Male,21.0,183.0,86.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver
33661,17348,David Cal Figueroa,Male,21.0,183.0,86.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
33662,17348,David Cal Figueroa,Male,25.0,183.0,86.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver
33663,17348,David Cal Figueroa,Male,25.0,183.0,86.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
33664,17348,David Cal Figueroa,Male,29.0,183.0,86.0,Spain,ESP,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
33672,17351,Lucas Calabrese,Male,25.0,168.0,60.0,Argentina,ARG,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Two Person Dinghy,Bronze
33748,17388,"David ""Dave"" Calder",Male,30.0,195.0,90.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Pairs,Silver
33773,17402,Jos Manuel Caldern Borrallo,Male,26.0,191.0,90.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Silver
33774,17402,Jos Manuel Caldern Borrallo,Male,30.0,191.0,90.0,Spain,ESP,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Silver
33775,17402,Jos Manuel Caldern Borrallo,Male,34.0,191.0,90.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze
33783,17407,Rosir Calderon Daz,Female,19.0,191.0,70.0,Cuba,CUB,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,Bronze
33799,17415,Hilary Caldwell,Female,25.0,173.0,61.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Backstroke,Bronze
33886,17462,Ryan Callahan,Male,24.0,180.0,86.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
33902,17471,Mara Luisa Calle Williams,Female,35.0,170.0,51.0,Colombia,COL,2004 Summer,2004,Summer,Athina,Cycling,Cycling Women's Points Race,Bronze
33913,17478,Emmanuel Earl Callender,Male,24.0,189.0,86.0,Trinidad and Tobago,TTO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
33914,17478,Emmanuel Earl Callender,Male,28.0,189.0,86.0,Trinidad and Tobago,TTO,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
33937,17489,Facundo Callioni,Male,30.0,183.0,77.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold
33947,17494,Ashley John Callus,Male,29.0,188.0,85.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
34008,17519,Schillonie Calvert,Female,23.0,166.0,57.0,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
34027,17525,Eva Calvo Gmez,Female,25.0,176.0,57.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Featherweight,Silver
34144,17591,"Elizabeth Folake ""Liz"" Cambage",Female,20.0,203.0,98.0,Australia,AUS,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Bronze
34148,17593,Ivn Cambar Rodrguez,Male,28.0,163.0,77.0,Cuba,CUB,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Middleweight,Bronze
34172,17602,"Asuka Antonio ""Aska"" Cambridge",Male,23.0,179.0,74.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
34178,17606,Ibrahim Camejo Savas,Male,26.0,180.0,79.0,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Long Jump,Bronze
34228,17636,Tracy Cameron,Female,33.0,172.0,58.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,Bronze
34231,17637,Brett Camerota,Male,25.0,167.0,59.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Nordic Combined,Nordic Combined Men's Team,Silver
34253,17650,Tiago Henrique de Oliveira Camilo,Male,26.0,180.0,90.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Middleweight,Bronze
34264,17656,Roberto Cammarelle,Male,24.0,190.0,101.5,Italy,ITA,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Super-Heavyweight,Bronze
34265,17656,Roberto Cammarelle,Male,28.0,190.0,101.5,Italy,ITA,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Super-Heavyweight,Gold
34266,17656,Roberto Cammarelle,Male,31.0,190.0,101.5,Italy,ITA,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Super-Heavyweight,Silver
34300,17678,Alan Campbell,Male,29.0,191.0,96.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Single Sculls,Bronze
34313,17684,Bronte Campbell,Female,22.0,179.0,58.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
34316,17686,Cassie Dawin Campbell (-Pascall),Female,28.0,170.0,66.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
34317,17686,Cassie Dawin Campbell (-Pascall),Female,32.0,170.0,66.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
34318,17687,Cate Natalie Campbell,Female,16.0,186.0,67.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,Bronze
34320,17687,Cate Natalie Campbell,Female,16.0,186.0,67.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
34322,17687,Cate Natalie Campbell,Female,20.0,186.0,67.0,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
34325,17687,Cate Natalie Campbell,Female,24.0,186.0,67.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
34326,17687,Cate Natalie Campbell,Female,24.0,186.0,67.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
34346,17697,Darren Andrew Campbell,Male,30.0,183.0,83.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
34447,17755,Veronica Angella Campbell-Brown,Female,22.0,168.0,58.0,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres,Bronze
34448,17755,Veronica Angella Campbell-Brown,Female,22.0,168.0,58.0,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 200 metres,Gold
34449,17755,Veronica Angella Campbell-Brown,Female,22.0,168.0,58.0,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
34450,17755,Veronica Angella Campbell-Brown,Female,26.0,168.0,58.0,Jamaica,JAM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 200 metres,Gold
34452,17755,Veronica Angella Campbell-Brown,Female,30.0,168.0,58.0,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,Bronze
34454,17755,Veronica Angella Campbell-Brown,Female,30.0,168.0,58.0,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
34456,17755,Veronica Angella Campbell-Brown,Female,34.0,168.0,58.0,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
34483,17774,Alisa Peta Camplin (-Warner),Female,27.0,157.0,49.0,Australia,AUS,2002 Winter,2002,Winter,Salt Lake City,Freestyle Skiing,Freestyle Skiing Women's Aerials,Gold
34484,17774,Alisa Peta Camplin (-Warner),Female,31.0,157.0,49.0,Australia,AUS,2006 Winter,2006,Winter,Torino,Freestyle Skiing,Freestyle Skiing Women's Aerials,Bronze
34557,17815,Niccol Campriani,Male,24.0,177.0,80.0,Italy,ITA,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Air Rifle, 10 metres",Silver
34558,17815,Niccol Campriani,Male,24.0,177.0,80.0,Italy,ITA,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
34560,17815,Niccol Campriani,Male,28.0,177.0,80.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold
34561,17815,Niccol Campriani,Male,28.0,177.0,80.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
34645,17857,Fabian Cancellara,Male,27.0,186.0,81.0,Switzerland,SUI,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Road Race, Individual",Silver
34646,17857,Fabian Cancellara,Male,27.0,186.0,81.0,Switzerland,SUI,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Individual Time Trial,Gold
34650,17857,Fabian Cancellara,Male,35.0,186.0,81.0,Switzerland,SUI,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Individual Time Trial,Gold
34777,17927,Ferrol Cannard,Male,27.0,184.0,80.0,France,FRA,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
34879,17977,Flvio Vianna de Ulha Canto,Male,29.0,179.0,81.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Half-Middleweight,Bronze
34894,17985,Christian Cantwell,Male,27.0,193.0,154.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Shot Put,Silver
34913,17995,Cao Lei,Female,24.0,168.0,75.0,China,CHN,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Heavyweight,Gold
34931,18005,Cao Yuan,Male,17.0,160.0,42.0,China,CHN,2012 Summer,2012,Summer,London,Diving,Diving Men's Synchronized Platform,Gold
34932,18005,Cao Yuan,Male,21.0,160.0,42.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Springboard,Gold
34933,18005,Cao Yuan,Male,21.0,160.0,42.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Springboard,Bronze
34936,18007,Cao Zhongrong,Male,30.0,180.0,73.0,China,CHN,2012 Summer,2012,Summer,London,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver
34944,18011,Libor Capalini,Male,31.0,174.0,64.0,Czech Republic,CZE,2004 Summer,2004,Summer,Athina,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
34988,18029,Nadine Capellmann (-Biffar-),Female,43.0,166.0,51.0,Elvis Va,GER,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
35080,18071,Federico Cappellazzo,Male,23.0,175.0,70.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
35098,18083,Corina Oana Cprioriu,Female,26.0,161.0,57.0,Romania,ROU,2012 Summer,2012,Summer,London,Judo,Judo Women's Lightweight,Silver
35123,18094,Marta Capurso,Female,25.0,155.0,55.0,Italy,ITA,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
35182,18118,Benot Pierre Caranobe,Male,28.0,164.0,60.0,France,FRA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
35257,18150,Ona Carbonell Ballestero,Female,22.0,174.0,54.0,Spain,ESP,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Duet,Silver
35258,18150,Ona Carbonell Ballestero,Female,22.0,174.0,54.0,Spain,ESP,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
35306,18178,"Patricia ""Patty"" Cardenas",Female,23.0,170.0,73.0,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Silver
35355,18206,Jos Saturnino Cardozo Otaz,Male,33.0,189.0,83.0,Paraguay,PAR,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,Silver
35528,18264,Gillian Carleton,Female,22.0,179.0,68.0,Canada,CAN,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Team Pursuit,Bronze
35546,18278,"Jazmin Roxy ""Jazz"" Carlin",Female,25.0,175.0,57.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Freestyle,Silver
35547,18278,"Jazmin Roxy ""Jazz"" Carlin",Female,25.0,175.0,57.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 800 metres Freestyle,Silver
35754,18374,Adriana Carmona Gutirrez,Female,30.0,177.0,75.0,Venezuela,VEN,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Heavyweight,Bronze
35783,18389,Olivia Frances Carnegie-Brown,Female,25.0,181.0,73.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Silver
35820,18410,Maurizio Carnino,Male,26.0,184.0,83.0,Italy,ITA,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver
35850,18420,"Carolina ""Carol"" Demartini de Albuquerque",Female,31.0,182.0,76.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
35901,18439,Stefano Carozzo,Male,29.0,193.0,82.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Team",Bronze
35907,18443,Marissa Carpadios,Female,26.0,164.0,72.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Silver
35912,18446,"Alexandra ""Alex"" Carpenter",Female,19.0,170.0,70.0,United States,USA,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
35928,18456,Kip Carpenter,Male,22.0,178.0,73.0,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,Speed Skating Men's 500 metres,Bronze
36011,18500,Cecilia Carranza Saroli,Female,29.0,164.0,63.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Mixed Multihull,Gold
36105,18550,Sara Maree Carrigan,Female,23.0,168.0,60.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Women's Road Race, Individual",Gold
36121,18561,Nancy Carrillo de la Paz,Female,18.0,190.0,74.0,Cuba,CUB,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,Bronze
36124,18563,Lisa Carrington,Female,23.0,168.0,63.0,New Zealand,NZL,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",Gold
36126,18563,Lisa Carrington,Female,27.0,168.0,63.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",Gold
36127,18563,Lisa Carrington,Female,27.0,168.0,63.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze
36156,18581,Joel Carroll,Male,25.0,184.0,89.0,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze
36253,18625,Fabio Carta,Male,24.0,172.0,74.0,Italy,ITA,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver
36277,18641,Hamish Clive Carter,Male,33.0,183.0,75.0,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Triathlon,Triathlon Men's Olympic Distance,Gold
36281,18644,"Jeffrey J. ""Jeff"" Carter",Male,29.0,190.0,90.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
36306,18653,Michelle Denee Carter,Female,30.0,176.0,136.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Gold
36310,18656,Nesta Carter,Male,26.0,178.0,70.0,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
36477,18757,Caroline Casaretto,Female,26.0,167.0,64.0,Germany,GER,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Gold
36574,18811,"Swintayla Marie ""Swin"" Cash",Female,24.0,185.0,74.0,United States,USA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Gold
36575,18811,"Swintayla Marie ""Swin"" Cash",Female,32.0,185.0,74.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Gold
36631,18827,Charlotte Caslick,Female,21.0,172.0,65.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold
36664,18840,Andrea Cassar,Male,20.0,193.0,93.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's Foil, Individual",Bronze
36665,18840,Andrea Cassar,Male,20.0,193.0,93.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's Foil, Team",Gold
36668,18840,Andrea Cassar,Male,28.0,193.0,93.0,Italy,ITA,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Foil, Team",Gold
36702,18858,Igor Cassina,Male,26.0,180.0,73.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
36723,18870,Matteo Castaldo,Male,30.0,188.0,86.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Bronze
36740,18882,Carlos Castao Panadero,Male,25.0,178.0,68.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
36799,18913,Marissa Castelli,Female,23.0,152.0,48.0,United States,USA,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Bronze
36892,18970,Yalennis Castillo Ramrez,Female,22.0,174.0,78.0,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Half-Heavyweight,Silver
36906,18976,Kristi Castlin,Female,28.0,170.0,60.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres Hurdles,Bronze
37035,19044,Tamika Devonne Catchings,Female,25.0,185.0,77.0,United States,USA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Gold
37036,19044,Tamika Devonne Catchings,Female,29.0,185.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Gold
37037,19044,Tamika Devonne Catchings,Female,33.0,185.0,77.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Gold
37038,19044,Tamika Devonne Catchings,Female,37.0,185.0,77.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold
