,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
150769,75654,Kim Kristine Martin-Hasson,Female,15.0,166.0,68.0,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
150770,75654,Kim Kristine Martin-Hasson,Female,19.0,166.0,68.0,Sweden,SWE,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
150875,75706,Conchita Martnez Bernat,Female,32.0,170.0,59.0,Spain-2,ESP,2004 Summer,2004,Summer,Athina,Tennis,Tennis Women's Doubles,Silver
150892,75717,Emilio Damin Martnez Martnez,Male,23.0,177.0,78.0,Paraguay,PAR,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,Silver
150931,75740,Iker Martnez de Lizarduy Lizarribar,Male,27.0,173.0,70.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Sailing,Sailing Mixed Skiff,Gold
150932,75740,Iker Martnez de Lizarduy Lizarribar,Male,31.0,173.0,70.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed Skiff,Silver
150956,75753,Joan Lino Martnez Armenteros,Male,26.0,176.0,69.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Long Jump,Bronze
150957,75754,Jonder Martnez Martnez,Male,26.0,187.0,75.0,Cuba,CUB,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Gold
150958,75754,Jonder Martnez Martnez,Male,30.0,187.0,75.0,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Silver
151038,75800,Manuel Martnez Gutirrez,Male,29.0,185.0,132.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Shot Put,Bronze
151060,75811,Mayvelis A. Martnez Aldm,Female,27.0,178.0,78.0,Cuba,CUB,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,Bronze
151136,75850,Yurberjen Herney Martnez Rivas,Male,24.0,165.0,49.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Flyweight,Silver
151180,75872,Marie Martinod,Female,29.0,158.0,48.0,France,FRA,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Halfpipe,Silver
151191,75879,Glafira Sergeyevna Martinovich,Female,19.0,176.0,58.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
151288,75926,Simon Martirosyan,Male,19.0,181.0,105.0,Armenia,ARM,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Heavyweight,Silver
151291,75928,Tigran Varban Martirosyan,Male,25.0,175.0,85.0,Armenia,ARM,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
151299,75934,Anita Mrton,Female,27.0,172.0,95.0,Hungary,HUN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Bronze
151340,75959,Julia Marty,Female,25.0,169.0,69.0,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
151346,75962,Stefanie Marty,Female,25.0,168.0,72.0,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
